m,1
ISI,Content,corrAns,RT,trialName
0.15,selbst,1,3.96382478951,otherSelf
0.15,mein,1,1.64527267776,otherSelf
0.15,sie,1,1.32106452389,otherSelf
0.15,ihm,0,0.959390862845,otherSelf
0.15,selbst,1,0.784555009101,otherSelf
0.15,mir,0,1.02316814614,otherSelf
0.15,andere,1,0.976232892368,otherSelf
0.15,deren,0,0.655021011364,otherSelf
0.15,ich,1,0.562879940961,otherSelf
0.15,ihr,1,0.795107578393,otherSelf
0.15,ich,1,0.710240552202,otherSelf
0.15,ihm,1,0.675269129686,otherSelf
0.15,eigenes,1,0.760883940849,otherSelf
0.15,fremdes,1,0.856394443195,otherSelf
0.15,ich,1,0.658933687489,otherSelf
0.15,mich,1,0.57168401219,otherSelf
0.15,ich,0,0.648159714881,otherSelf
0.15,mir,1,1.46076400205,otherSelf
0.15,mich,1,0.670272164512,otherSelf
0.15,eigenes,0,0.619286407717,otherSelf
0.15,Tod,1,1.93576011667,negativePos
0.15,Leid,0,0.559499511961,negativePos
0.15,Sonnenschein,1,0.580465356819,negativePos
0.15,Wärme,0,0.539617955219,negativePos
0.15,Trauer,0,0.955895333551,negativePos
0.15,Tragödie,0,0.811061796267,negativePos
0.15,Leid,0,1.02892389288,negativePos
0.15,Trauer,1,1.05300184432,negativePos
0.15,Lächeln,1,0.67586295912,negativePos
0.15,Paradies,0,0.678278598003,negativePos
0.15,Freude,1,0.462359277066,negativePos
0.15,Trauer,1,0.381731899921,negativePos
0.15,Glück,1,0.864514511544,negativePos
0.15,Krankheit,1,0.412560446188,negativePos
0.15,Schmerz,1,0.578961722087,negativePos
0.15,Trauer,0,0.457802185789,negativePos
0.15,Tod,1,0.567090264987,negativePos
0.15,Lächeln,1,0.538553460501,negativePos
0.15,Sonnenschein,0,0.394445715006,negativePos
0.15,Krankheit,0,0.503791711293,negativePos
0.15,mir,0,1.09913946036,negOPself
0.15,deren,0,0.96451759059,negOPself
0.15,Wärme,0,0.649521124549,negOPself
0.15,Schmerz,0,0.983460016549,negOPself
0.15,ihr,0,0.607768315822,negOPself
0.15,ihm,1,0.535557921045,negOPself
0.15,Leid,0,0.564061734825,negOPself
0.15,sie,1,1.10498978011,negOPself
0.15,Tragödie,1,0.693430779967,negOPself
0.15,ich,0,0.666945253033,negOPself
0.15,selbst,0,0.403089966159,negOPself
0.15,Trauer,0,0.862252094317,negOPself
0.15,eigenes,1,0.530479579698,negOPself
0.15,Freude,1,0.60252135573,negOPself
0.15,mich,0,0.44222112745,negOPself
0.15,Lächeln,1,0.557809663471,negOPself
0.15,fremdes,0,0.66559923999,negOPself
0.15,Tod,1,0.625710762572,negOPself
0.15,Glück,1,0.944828845561,negOPself
0.15,Paradies,0,0.560733356979,negOPself
0.15,deren,0,0.894759492017,negOPself40
0.15,Freude,0,0.509102452081,negOPself40
0.15,Trauer,1,0.713170110714,negOPself40
0.15,Wärme,1,0.625399185345,negOPself40
0.15,Tragödie,0,0.911893304437,negOPself40
0.15,Paradies,1,0.616200693883,negOPself40
0.15,Schmerz,1,0.516224740073,negOPself40
0.15,andere,1,0.451243669726,negOPself40
0.15,fremdes,0,0.58914479753,negOPself40
0.15,mich,0,0.496081458405,negOPself40
0.15,Sonnenschein,0,0.494573425036,negOPself40
0.15,mein,0,0.574516065419,negOPself40
0.15,Trauer,0,1.27294894261,negOPself40
0.15,Lächeln,1,0.726252686698,negOPself40
0.15,mir,1,1.242219368,negOPself40
0.15,Leid,1,1.20545765897,negOPself40
0.15,fremdes,1,1.25397205958,negOPself40
0.15,Tod,1,0.832961640321,negOPself40
0.15,ihm,1,1.10602714913,negOPself40
0.15,ihr,0,1.13076784369,negOPself40
0.15,Wärme,1,2.01567563135,negOPself40
0.15,Lächeln,0,1.24963637115,negOPself40
0.15,Paradies,1,1.31980061997,negOPself40
0.15,fremdes,1,1.63300313475,negOPself40
0.15,sie,0,1.39033509605,negOPself40
0.15,andere,0,1.81161530409,negOPself40
0.15,mir,1,1.22539200075,negOPself40
0.15,deren,1,0.985680645797,negOPself40
0.15,Tod,1,0.863494738005,negOPself40
0.15,Wärme,0,0.919221599586,negOPself40
0.15,Krankheit,0,1.47616031347,negOPself40
0.15,fremdes,1,1.37369834026,negOPself40
0.15,selbst,1,0.953343333211,negOPself40
0.15,ihr,0,0.882855044212,negOPself40
0.15,selbst,1,0.836572269443,negOPself40
0.15,Leid,1,0.772636632435,negOPself40
0.15,Glück,1,0.9060620456,negOPself40
0.15,selbst,1,0.862901641522,negOPself40
0.15,eigenes,1,1.93251824751,negOPself40
0.15,ich,0,0.818134231959,negOPself40
0.15,ich,0,3.0563016301,selfOther
0.15,eigenes,1,0.525584518909,selfOther
0.15,ihr,1,0.479717425071,selfOther
0.15,ich,1,0.541372317821,selfOther
0.15,ihr,0,0.538644367829,selfOther
0.15,sie,1,0.810665176716,selfOther
0.15,ihr,0,0.435702932533,selfOther
0.15,ich,0,0.619943285827,selfOther
0.15,mich,0,0.470041670837,selfOther
0.15,ihm,0,0.525173970032,selfOther
0.15,sie,1,0.966920033563,selfOther
0.15,mich,1,0.765089132823,selfOther
0.15,fremdes,0,1.10080731474,selfOther
0.15,ihm,0,0.683123074006,selfOther
0.15,ihr,1,0.760764441919,selfOther
0.15,eigenes,0,0.765551000368,selfOther
0.15,selbst,1,0.95886594709,selfOther
0.15,ihr,1,0.575399478897,selfOther
0.15,deren,0,0.944371376652,selfOther
0.15,andere,0,0.460868105292,selfOther
0.15,ich,0,1.81301776832,selfOther
0.15,mich,1,1.09957053652,selfOther
0.15,ich,1,0.710571923759,selfOther
0.15,eigenes,0,0.776464266237,selfOther
0.15,mir,0,1.09845179133,selfOther
0.15,mein,1,1.45924570458,selfOther
0.15,eigenes,1,0.969179518055,selfOther
0.15,ihr,0,0.822043975815,selfOther
0.15,mir,0,0.934829783626,selfOther
0.15,sie,0,0.802072245162,selfOther
0.15,ihm,1,0.576358403079,selfOther
0.15,andere,0,0.528689294122,selfOther
0.15,mich,1,0.608180330601,selfOther
0.15,mir,1,0.810774412472,selfOther
0.15,eigenes,1,0.870006334037,selfOther
0.15,fremdes,0,1.04038040247,selfOther
0.15,sie,0,0.636618896388,selfOther
0.15,mein,1,0.830746143125,selfOther
0.15,deren,0,0.712422325741,selfOther
0.15,fremdes,1,0.910619136877,selfOther
0.15,ihm,1,1.8802128695,selfNOpos
0.15,mein,1,0.438271061517,selfNOpos
0.15,Tod,1,0.687495417893,selfNOpos
0.15,Tragödie,0,0.585096493363,selfNOpos
0.15,andere,0,0.381786883809,selfNOpos
0.15,eigenes,0,0.469153859187,selfNOpos
0.15,Trauer,1,0.480970331933,selfNOpos
0.15,Lächeln,0,0.510325300973,selfNOpos
0.15,Krankheit,1,0.461908406578,selfNOpos
0.15,Sonnenschein,0,0.688471204136,selfNOpos
0.15,mir,1,0.50223162584,selfNOpos
0.15,Freude,0,0.643185477238,selfNOpos
0.15,Glück,1,0.664506154135,selfNOpos
0.15,Wärme,0,0.766768717207,selfNOpos
0.15,sie,1,0.555135965347,selfNOpos
0.15,ich,0,0.684845179319,selfNOpos
0.15,Leid,1,0.6018608124,selfNOpos
0.15,ihr,1,1.02709328523,selfNOpos
0.15,selbst,1,1.11209374014,selfNOpos
0.15,Schmerz,0,0.752055676654,selfNOpos
0.15,Krankheit,0,4.87097992143,selfNOpos40
0.15,fremdes,0,1.33196605928,selfNOpos40
0.15,Sonnenschein,1,0.826146530919,selfNOpos40
0.15,deren,1,0.760268850718,selfNOpos40
0.15,Trauer,1,0.759991730563,selfNOpos40
0.15,Krankheit,0,0.739091866184,selfNOpos40
0.15,Glück,0,0.608648062684,selfNOpos40
0.15,ich,1,0.677755148616,selfNOpos40
0.15,Tod,1,0.762113387696,selfNOpos40
0.15,Trauer,0,0.459673115518,selfNOpos40
0.15,Leid,1,0.757903796621,selfNOpos40
0.15,Krankheit,0,0.535761728883,selfNOpos40
0.15,sie,0,0.664724624716,selfNOpos40
0.15,Lächeln,1,0.595602876041,selfNOpos40
0.15,eigenes,1,0.488095552195,selfNOpos40
0.15,deren,0,0.881623398047,selfNOpos40
0.15,Paradies,1,0.553918247577,selfNOpos40
0.15,Freude,1,1.59915705537,selfNOpos40
0.15,Tragödie,1,1.48280387186,selfNOpos40
0.15,Tod,1,0.871750432998,selfNOpos40
0.15,ich,1,1.15862577595,selfNOpos40
0.15,Wärme,1,0.943130199332,selfNOpos40
0.15,Schmerz,1,0.949613937177,selfNOpos40
0.15,ihr,0,0.957593978848,selfNOpos40
0.15,ihm,1,0.929257317446,selfNOpos40
0.15,selbst,1,0.909377227072,selfNOpos40
0.15,andere,1,0.821820373181,selfNOpos40
0.15,selbst,1,1.08740143152,selfNOpos40
0.15,Trauer,1,0.683504297398,selfNOpos40
0.15,mir,0,0.568324843422,selfNOpos40
0.15,Krankheit,0,0.554089065641,selfNOpos40
0.15,mein,1,0.516484265681,selfNOpos40
0.15,Sonnenschein,1,0.870483596809,selfNOpos40
0.15,Lächeln,0,0.636692208704,selfNOpos40
0.15,Krankheit,0,0.504018246196,selfNOpos40
0.15,andere,0,0.941802514251,selfNOpos40
0.15,mich,0,0.850309524219,selfNOpos40
0.15,Tragödie,0,0.608631201088,selfNOpos40
0.15,Leid,1,0.831264460925,selfNOpos40
0.15,eigenes,1,1.88618708728,selfNOpos40
